     Reads         Bases  ID Uncompressed  ID Compressed  ID Ratio  Aux Uncompressed  Aux Compressed   Aux Ratio  Seq Uncompressed  Seq Compressed  Seq Ratio  Qual Uncompressed  Qual Compressed  Qual Ratio  Filename
  73776523    7377389500        726653729      228190357    0.3140        3085563135       163281275         0.0529        7377389500       608707935     0.0825         7377389500       1622293129      0.2199  1.uniq.bam.quip-ref
 125678528   12567852800       1234563074      402886733    0.3263        5562637261       216842090         0.0390       12567852800       731139667     0.0582        12567852800       4324625787      0.3441  2.uniq.bam.quip-ref
  92795549    4639777450        916844387      261537792    0.2853        2948194525        49788946         0.0169        4639777450       286946500     0.0618         4639777450       1483049923      0.3196  3.uniq.bam.quip-ref
 248662054   25114867454       2513060390      827800061    0.3294       10950175063       526506408         0.0481       25114867454      1697244906     0.0676        25114867454       8612856000      0.3429  4.uniq.bam.quip-ref
 249630022   18971881672       4520748214      795437126    0.1760       10380539561       347374945         0.0335       18971881672      1407022796     0.0742        18971881672       5317371426      0.2803  5.uniq.bam.quip-ref
  76769740    5757514650        756585880      251303782    0.3322        3346220598        88194458         0.0264        5757514650       194883747     0.0338         5757514650       1111177490      0.1930  6.uniq.bam.quip-ref
